3,TRUE,TRUE,TRUE
1111;1001;0100;0010,398,0,0,
0111;0001;1001;1111,340,0,0,
0111;1100;0010;1001,772,0,0,
1101;0001;0111;1011,743,0,0,
0100;1000;1110;0010,732,0,0,
0100;0111;0010;0001,702,0,0,
1000;1110;0011;0101,745,0,0,
1001;1011;0111;0101,735,0,0,
0101;0001;0111;0011,675,0,0,
1100;0001;0100;1001,707,0,0,
1110;0000;0010;1100,1014,0,0,
0101;1100;0111;1110,704,0,0,
1101;1000;1010;1111,374,0,0,
0100;1100;0011;1011,350,0,0,
0000;1101;0110;1011,1135,0,0,
0100;0110;0000;0010,1051,0,0,
0000;1100;1101;0001,1089,0,0,
1110;0111;1001;0000,1017,0,0,
1111;0010;0001;1100,338,0,0,
0010;1011;0111;1110,718,0,0,
0001;0110;0011;0100,685,0,0,
1111;1001;0011;0101,368,355,91,
0100;0101;0000;0001,1061,0,0,
1110;1011;0110;0011,748,0,0,
1000;1001;1101;1100,699,0,0,
1100;0110;1101;0111,670,0,0,
1111;1110;0000;0001,323,0,0,
1110;1101;0001;0010,368,0,0,
0101;0111;0110;0100,729,0,0,
0111;0100;0011;0000,1014,0,0,
0101;0100;1110;1111,343,0,0,
1000;0101;1101;0000,1042,0,0,
1010;1011;1000;1001,714,0,0,
1010;0010;1101;0101,383,0,0,
1101;0001;1000;0100,744,0,0,
1000;1010;0001;0011,690,0,0,
1000;0010;1111;0101,362,0,0,
0000;1111;1011;0100,325,0,0,
1110;1101;0000;0011,1079,0,0,
0001;0110;1001;1110,347,0,0,
0011;1000;0000;1011,1080,0,0,
0010;0101;0011;0100,703,0,0,
1101;1010;0001;0110,762,0,0,
0011;0101;1011;1101,724,0,0,
0010;1110;1111;0011,357,0,0,
0000;0110;1000;1110,1116,0,0,
0111;0000;0001;0110,1091,0,0,
1000;0111;0110;1001,363,0,0,
1101;1100;1111;1110,349,0,0,
0100;0101;1001;1000,715,0,0,
0110;0100;1100;1110,685,0,0,
1011;1100;1000;1111,353,0,0,
1011;0101;0000;1110,1092,0,0,
0000;1000;1001;0001,1076,0,0,
0110;0101;1000;1011,713,0,0,
1000;0011;1111;0100,372,0,0,
